,word,ls_word_acc,cr_word_acc,ls_word_count,cr_word_count
1922,creak,0.0,100.0,1,1
1926,criminological,0.0,0.0,1,1
1929,crochet,0.0,0.0,1,1
1934,crossover,0.0,0.0,1,1
1937,crossway,0.0,0.0,1,1
1939,croy,0.0,0.0,1,1
1942,crupper,0.0,100.0,1,1
1949,culmination,0.0,100.0,1,1
1951,cumin,0.0,0.0,1,1
1954,cupidon,0.0,0.0,1,1
1961,curule,0.0,0.0,1,1
1962,cussed,0.0,0.0,1,1
1964,cuticle,0.0,0.0,1,1
1971,cynosure,0.0,0.0,1,1
1974,czarist,0.0,0.0,1,1
1977,dais,0.0,100.0,1,1
1993,das,0.0,0.0,1,1
1995,daunting,0.0,0.0,1,1
2000,debauch,0.0,0.0,1,1
2002,decamp,0.0,0.0,1,1
2004,dee,0.0,0.0,1,1
2010,definitiveness,0.0,100.0,1,1
2013,deify,0.0,100.0,1,1
2017,demeanor,0.0,0.0,1,1
2018,demesne,0.0,0.0,1,1
2028,dere,0.0,0.0,1,1
2033,descendent,0.0,0.0,1,1
2058,diem,0.0,0.0,1,1
2062,dilettanti,0.0,0.0,1,1
2064,diluted,0.0,100.0,1,1
2077,disaggregate,0.0,0.0,1,1
2078,disarmament,0.0,100.0,1,1
2081,disburse,0.0,0.0,1,1
2082,discomfit,0.0,100.0,1,1
2084,discrete,0.0,0.0,1,1
2086,disheveled,0.0,0.0,1,1
2087,disillusionist,0.0,0.0,1,1
2089,disloyal,0.0,100.0,1,1
2094,disqualify,0.0,0.0,1,1
2096,distasted,0.0,100.0,1,1
2099,dithyramb,0.0,0.0,1,1
2102,doable,0.0,100.0,1,1
2104,doc,0.0,0.0,1,1
2106,doctrinarian,0.0,100.0,1,1
2107,documentarily,0.0,0.0,1,1
2111,doff,0.0,0.0,1,1
2118,domn,0.0,0.0,1,1
2123,doon,0.0,100.0,1,1
2124,doorbell,0.0,100.0,1,1
2125,doorknob,0.0,0.0,1,1
2126,dope,0.0,0.0,1,1
2127,dor,0.0,0.0,1,1
2128,doree,0.0,0.0,1,1
2129,doria,0.0,100.0,1,1
2132,dote,0.0,0.0,1,1
2134,dough,0.0,0.0,1,1
2135,doughy,0.0,0.0,1,1
2137,downgrade,0.0,0.0,1,1
2138,downhearted,0.0,0.0,1,1
2143,drat,0.0,0.0,1,1
2146,dregs,0.0,100.0,1,1
2150,drest,0.0,0.0,1,1
2151,dribble,0.0,0.0,1,1
2155,dropt,0.0,0.0,1,1
2156,dross,0.0,100.0,1,1
2173,dure,0.0,0.0,1,1
2176,dyeing,0.0,0.0,1,1
2177,dyer,0.0,0.0,1,1
2179,dynamite,0.0,100.0,1,1
2180,dysentery,0.0,100.0,1,1
2184,ebonite,0.0,0.0,1,1
2186,eczema,0.0,0.0,1,1
2193,eelpout,0.0,0.0,1,1
2195,eerie,0.0,0.0,1,1
2196,efface,0.0,100.0,1,1
2197,effeminate,0.0,100.0,1,1
2199,eggshell,0.0,0.0,1,1
2204,elation,0.0,0.0,1,1
2206,elf,0.0,0.0,1,1
2212,ellipse,0.0,0.0,1,1
2214,eluder,0.0,0.0,1,1
2221,emigration,0.0,100.0,1,1
2222,emit,0.0,0.0,1,1
2227,empyrean,0.0,0.0,1,1
2231,enchant,0.0,0.0,1,1
2236,endear,0.0,100.0,1,1
2237,endorsed,0.0,100.0,1,1
2240,enervate,0.0,0.0,1,1
2247,engross,0.0,0.0,1,1
2248,enigmatically,0.0,100.0,1,1
2253,enow,0.0,0.0,1,1
2255,ensample,0.0,0.0,1,1
2269,equable,0.0,100.0,1,1
2272,equivocality,0.0,0.0,1,1
2273,eraser,0.0,100.0,1,1
2277,erelong,0.0,0.0,1,1
2281,erotic,0.0,100.0,1,1
2283,erythema,0.0,100.0,1,1
2284,escheat,0.0,0.0,1,1
2288,espousal,0.0,0.0,1,1
2293,eudaemonism,0.0,0.0,1,1
2295,eunuch,0.0,0.0,1,1
2297,euthanasy,0.0,0.0,1,1
2302,evildoer,0.0,0.0,1,1
2307,ewe,0.0,0.0,1,1
2311,exclusionism,0.0,0.0,1,1
2312,excrement,0.0,0.0,1,1
2320,eyelash,0.0,0.0,1,1
2324,facer,0.0,0.0,1,1
2326,faery,0.0,0.0,1,1
2328,fag,0.0,0.0,1,1
2330,faience,0.0,0.0,1,1
2333,fairing,0.0,0.0,1,1
2342,faraway,0.0,0.0,1,1
2356,faugh,0.0,0.0,1,1
2361,fayles,0.0,0.0,1,1
2368,feldspar,0.0,0.0,1,1
2372,feline,0.0,100.0,1,1
2384,ferule,0.0,0.0,1,1
2390,fiancee,0.0,0.0,1,1
2399,filing,0.0,100.0,1,1
2401,fillet,0.0,0.0,1,1
2402,filth,0.0,0.0,1,1
2406,finis,0.0,100.0,1,1
2407,finisher,0.0,100.0,1,1
2409,fiord,0.0,0.0,1,1
2415,fishpond,0.0,0.0,1,1
2419,fivefold,0.0,0.0,1,1
2422,flagstaff,0.0,100.0,1,1
2424,flatfish,0.0,0.0,1,1
2428,flatus,0.0,0.0,1,1
2430,fleeced,0.0,100.0,1,1
2431,flewed,0.0,0.0,1,1
2433,flog,0.0,100.0,1,1
2434,flop,0.0,0.0,1,1
2436,floral,0.0,100.0,1,1
2441,floury,0.0,0.0,1,1
2445,flyer,0.0,0.0,1,1
2448,foist,0.0,0.0,1,1
2450,fons,0.0,0.0,1,1
2454,forasmuch,0.0,0.0,1,1
2457,foregone,0.0,100.0,1,1
2458,foreleg,0.0,0.0,1,1
2469,formatively,0.0,0.0,1,1
2473,forsworn,0.0,100.0,1,1
2477,foully,0.0,0.0,1,1
2479,fourpence,0.0,0.0,1,1
2480,fowling,0.0,0.0,1,1
2481,fra,0.0,0.0,1,1
2483,fraid,0.0,0.0,1,1
2486,franc,0.0,0.0,1,1
2491,freedman,0.0,0.0,1,1
2492,freeman,0.0,0.0,1,1
2493,freethinker,0.0,0.0,1,1
2503,frisk,0.0,0.0,1,1
2506,frivolity,0.0,0.0,1,1
2510,frontal,0.0,100.0,1,1
2514,fucus,0.0,0.0,1,1
2515,fulgor,0.0,0.0,1,1
2516,fulminating,0.0,100.0,1,1
2522,fuse,0.0,0.0,1,1
2523,fused,0.0,100.0,1,1
2525,fust,0.0,0.0,1,1
2526,fusty,0.0,100.0,1,1
2528,ga,0.0,100.0,1,1
2529,gab,0.0,100.0,1,1
